Partname,PowerW,Speedmms,EnergydensityJmm3,Hatchdistancemm,Layerthickmm,Time,Numpoints,EMapproxmean,EMapproxstd,EMapproxenergy,cD2detailpeak,cD2detailstd,cD2detailenergy,cD2detailentropy,cD2detailvariance,cD2detailskew,cD2detailkurt,cD1detailpeak,cD1detailstd,cD1detailenergy,cD1detailentropy,cD1detailvariance,cD1detailskew,cD1detailkurt,EMADRratio,EManomalydensity
H1_remelt,159.2,1200,73.7,0.06,0.03,2.4,196540,1669.221906,61.97179856,1.37E+11,68.87982255,17.46111869,14982349.1,-95938090.39,304.890666,0.025242515,-0.187761485,71.0390596,18.19517033,32534765.21,-211122269.7,331.0642235,-0.036741311,-0.256308197,2885.435982,0.000956519
H1_remelt,159.2,1200,73.7,0.06,0.03,2.43,196488,1666.998962,61.67697095,1.37E+11,74.70977838,17.43793605,14938655.47,-95563956.52,304.0816137,0.038831548,-0.200538242,74.22331524,18.13823185,32323252.59,-209523343.3,328.9954548,-0.032571098,-0.25312383,2892.502588,0.0010382
H1_remelt,159.2,1200,73.7,0.06,0.03,2.46,195010,1674.681461,63.71284477,1.37E+11,72.76222041,17.44695891,14841566.87,-95064290.77,304.3963753,0.041147318,-0.165721904,69.90020207,18.16960886,32190897.54,-208766324.7,330.1346861,-0.026011927,-0.262842359,2911.600668,0.001158879
H1_remelt,159.2,1200,73.7,0.06,0.03,2.49,189647,1674.582118,63.25200054,1.33E+11,70.69258324,17.46569327,14464813.23,-92721339.35,305.0504413,0.017229181,-0.163338086,77.77986472,18.20949157,31443280.68,-203959607.4,331.5855832,-0.029842699,-0.259902172,2900.526793,0.001128371
H1_remelt,159.2,1200,73.7,0.06,0.03,2.52,194317,1672.319652,62.17385297,1.36E+11,67.82327584,17.53067064,14931117.56,-95737908.96,307.324413,0.035917545,-0.189237763,69.13897414,18.16916924,32075016.02,-207990025.6,330.118711,-0.024882404,-0.255499156,2894.524302,0.001204174
H1_remelt,159.2,1200,73.7,0.06,0.03,2.55,193910,1671.181383,62.01325418,1.36E+11,70.07028043,17.55595521,14942726.29,-95782032.77,308.2115634,0.044093921,-0.21088642,73.82095319,18.14812112,31933559.64,-207111371.6,329.3543003,-0.035148923,-0.242850491,2892.491596,0.001186081
H1_remelt,159.2,1200,73.7,0.06,0.03,2.58,190976,1668.709884,61.37401552,1.33E+11,73.30915735,17.55697684,14718549.61,-94406239.1,308.2474358,0.020183982,-0.185605274,69.05179524,18.16346594,31503585.68,-204352824.3,329.9114948,-0.025819204,-0.247333598,2880.467863,0.001151941
H1_remelt,159.2,1200,73.7,0.06,0.03,2.61,195584,1674.154881,65.84361112,1.37E+11,72.1597759,17.53442316,15035092.87,-96375296.3,307.4559957,0.029178098,-0.178589303,72.67359518,18.18888656,32354131.43,-209932096.7,330.8355945,-0.026117964,-0.251390552,2896.680913,0.001063449
H1_remelt,159.2,1200,73.7,0.06,0.03,2.64,200704,1673.745293,64.90648351,1.41E+11,68.67578895,17.57898831,15507164.15,-99548670.3,309.02083,0.014503841,-0.177789077,74.72007304,18.12509769,32968560.8,-213844266.8,328.5191664,-0.024103541,-0.232190548,2904.332596,0.001215684
H1_remelt,159.2,1200,73.7,0.06,0.03,2.67,194485,1670.300727,61.99796607,1.36E+11,64.8638828,17.558518,14991499.73,-96081862.58,308.3015545,0.054198645,-0.213284813,67.5078072,18.0952137,31842090.88,-206134810.9,327.436759,-0.033724316,-0.269108974,2900.670255,0.001141435
